"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Percentage change (yearly) All property types","Percentage change (yearly) Detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (yearly) Terraced houses","Percentage change (yearly) Flats and maisonettes","Pivotable date"
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-01,68663,monthly,4.76,5.42,4.31,4.25,5.34,2017-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-02,71432,monthly,4.93,4.89,4.72,4.22,6.33,2017-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-03,89388,monthly,3.64,3.45,4.49,3.22,3.41,2017-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-04,75980,monthly,4.89,5.88,4.25,3.61,6.5,2017-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-05,83671,monthly,4.31,5.19,4.44,2.88,5.14,2017-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-06,101940,monthly,4.2,3.98,4.14,3.5,5.61,2017-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-07,92257,monthly,4.46,4.87,4.32,3.31,5.85,2017-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-08,98938,monthly,4.92,4.95,4.68,4.46,5.92,2017-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-09,94287,monthly,4.69,5.07,4.52,4.41,4.92,2017-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-10,92827,monthly,5.13,5.16,5.47,5.21,4.56,2017-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-11,92234,monthly,4.34,3.76,4.75,4.64,4.09,2017-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-12,91613,monthly,4.56,4.32,5.15,4.8,3.77,2017-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-01,68243,monthly,4.32,4.32,4.86,4.22,3.77,2018-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-02,69000,monthly,4.37,5.05,5.04,4.48,2.59,2018-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-03,81851,monthly,3.97,4.14,4.68,4.64,1.91,2018-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-04,71864,monthly,3.32,3.25,4.32,4.12,1.09,2018-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-05,81587,monthly,3.13,4.14,3.7,3.98,0.1,2018-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-06,96021,monthly,2.94,3.48,4.12,3.05,0.7,2018-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-07,89224,monthly,2.88,3.98,3.69,3.39,-0.12,2018-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-08,102001,monthly,2.73,3.7,3.77,2.99,-0.04,2018-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-09,83602,monthly,2.92,3.58,3.96,3.22,0.39,2018-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-10,92636,monthly,2.72,3.45,3.31,3.02,0.64,2018-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-11,99027,monthly,2.57,3.49,3.33,3.09,-0.21,2018-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-12,83837,monthly,1.95,2.49,2.73,1.93,0.38,2018-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-01,65597,monthly,1.68,2.8,2.46,1.8,-0.87,2019-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-02,67756,monthly,1.16,1.7,2.16,1.39,-1.16,2019-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-03,78955,monthly,1.49,1.79,2.47,1.42,-0.12,2019-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-04,73561,monthly,1.26,1.8,1.91,1.36,-0.45,2019-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-05,82426,monthly,0.98,1.21,1.85,1.42,-1.14,2019-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-06,84287,monthly,0.74,1.04,1.27,1.07,-0.81,2019-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-07,89176,monthly,0.62,0.5,1.08,0.95,-0.31,2019-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-08,95774,monthly,0.63,0.97,1.09,1.21,-1.25,2019-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-09,84025,monthly,0.9,0.49,0.85,1.48,0.65,2019-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-10,90625,monthly,0.74,0.34,1.7,1.11,-0.66,2019-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-11,93439,monthly,0.81,0.9,1.67,1.11,-0.96,2019-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-12,84958,monthly,0.9,0.97,1.26,1.63,-0.77,2019-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-01,68585,monthly,1.59,0.94,2.2,2.4,0.37,2020-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-02,67463,monthly,1.26,1.04,1.84,2.26,-0.75,2020-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-03,69201,monthly,2.46,2.4,2.55,3.04,1.56,2020-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-04,28349,monthly,0.69,1.77,0.98,0.99,-1.61,2020-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-05,36373,monthly,1.07,1.49,1.49,0.74,0.37,2020-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-06,53222,monthly,2.06,2.08,2.56,2.98,-0.02,2020-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-07,63133,monthly,1.76,2.13,2.54,2.12,-0.37,2020-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-08,65711,monthly,2.56,2.87,3.62,2.59,0.53,2020-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-09,74813,monthly,3.58,4.49,4.53,3.85,0.62,2020-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-10,92562,monthly,4.82,6.0,4.8,5.77,1.9,2020-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-11,89045,monthly,6.46,7.08,6.29,7.33,4.55,2020-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-12,93494,monthly,7.53,8.88,7.92,8.32,4.03,2020-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-01,70711,monthly,7.78,8.72,8.05,8.71,4.76,2021-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-02,85161,monthly,8.87,10.27,9.4,9.5,5.23,2021-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-03,97984,monthly,9.98,11.16,10.51,11.12,5.93,2021-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-04,,monthly,9.58,9.98,10.34,10.39,6.64,2021-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-05,,monthly,9.98,11.3,9.76,11.36,6.53,2021-05-01
